RK,Player,Pos,Team,BYE,Opp,PTS,SoS Rank,ADP (Underdog),P-RK,YPC,Rush,RUSH YDS,RUSH TD,REC,REC YDS,REC TD,YPR,Rec/Tar Game,PASS YDS,PASS TD,INT,CMP%,ATT/ GM,QB YPC,PTS (Projections),YPC (Projections),Rush (Projections),RUSH YDS (Projections),RUSH TD (Projections),REC (Projections),REC YDS (Projections),REC TD (Projections),YPR (Projections),Rec/Tar Game (Projections),PASS YDS (Projections),PASS TD (Projections),INT (Projections),CMP% (Projections),ATT/ GM (Projections),QB YPC (Projections),Auction $,Target Round
153,T.J. Hockenson,TE,MIN,6,GB,87,9,167,TE19,,1,,,51,438,3,8.6,3.4/4.4,,,,,,,128,,,,,77,650,4,8.4,4.5/6.2,,,,,,,3,16.30
154,Terrance Ferguson,TE,LAR,11,SF,47,15,156,TE20,,1,,,11,231,3,21.0,0.8/1.8,,,,,,,126,,,,,46,665,6,14.5,2.7/4.6,,,,,,,3,16.40
155,Dalton Schultz,TE,HOU,8,BUF,137,11,162,TE21,,,,,82,777,3,9.5,4.8/6.2,,,,,,,115,,,,,62,601,4,9.7,3.6/5.1,,,,,,,3,16.50
156,Keenan Allen,WR,IND,13,BAL,142,17,152,WR61,,,,,81,777,4,9.6,4.8/7.2,,,,,,,110,,,,,52,542,5,10.4,3.5/5.3,,,,,,,3,16.60
157,Brian Robinson Jr.,RB,ATL,11,@PIT,59,12,181,RB50,4.3,92,400,2,8,25,,3.1,0.5/0.7,,,,,,,99,4.2,131,550,4,11,81,1,7.4,0.6/0.8,,,,,,,3,16.70
158,Houston Texans,DST,HOU,8,BUF,,,141,DST32,,,,,,,,,,,,,,,,185,,,,,,,,,,,,,,,,3,16.80
159,Seattle Seahawks,DST,SEA,11,NE,,,157,DST32,,,,,,,,,,,,,,,,181,,,,,,,,,,,,,,,,3,16.90
160,Los Angeles Rams,DST,LAR,11,SF,,,148,DST32,,,,,,,,,,,,,,,,194,,,,,,,,,,,,,,,,3,17.00
161,Kayshon Boutte,WR,HOU,8,BUF,108,3,176,WR62,,,,,33,551,6,16.7,2.4/3.3,,,,,,,116,,,,,53,651,4,12.3,3.1/4.8,,,,,,,2,17.10
162,Malik Davis,RB,DAL,14,@NYG,40,5,223,RB51,4.8,52,250,2,2,16,,8.0,0.2/0.5,,,,,,,58,4.4,82,359,1,12,94,,7.6,0.7/1.1,,,,,,,2,17.20
163,Ray Davis,RB,BUF,7,@HOU,53,30,184,RB52,4.7,58,275,,10,86,2,8.6,0.6/0.8,,,,,,,59,4.2,63,266,2,11,90,1,8.2,0.6/0.8,,,,,,,2,17.30
164,Tre Harris,WR,LAC,7,ARI,,31,161,WR63,,,,,,,,,,,,,,,,99,,,,,47,514,4,11.0,2.8/4.1,,,,,,,2,17.40
165,Emmett Johnson,RB,KC,5,DEN,,22,185,RB53,,,,,,,,,,,,,,,,68,4.2,81,343,2,17,128,,7.5,1.0/1.3,,,,,,,2,17.50
166,Jalen McMillan,WR,TB,10,@CIN,24,11,158,WR64,1.0,1,1,,12,178,,14.8,3.0/3.8,,,,,,,110,5.8,5,30,,47,601,4,12.9,2.7/4.4,,,,,,,2,17.60
167,Chig Okonkwo,TE,WAS,7,@PHI,96,25,147,TE22,,,,,56,560,2,10.0,3.3/4.6,,,,,,,101,,,,,50,513,4,10.2,3.0/4.1,,,,,,,2,17.70
168,Jonah Coleman,RB,DEN,10,@KC,,29,143,RB54,,,,,,,,,,,,,,,,45,4.3,44,191,1,16,120,,7.7,0.9/1.3,,,,,,,2,17.80
169,Jalen Nailor,WR,LV,13,MIA,86,32,153,WR65,6.5,2,13,,29,444,4,15.3,1.7/3.1,,,,,,,112,5.7,2,10,,46,640,4,13.9,2.7/4.8,,,,,,,2,17.90
170,Cam Ward,QB,TEN,9,NYJ,187,4,160,QB25,4.1,39,159,2,,,,,,3169,15,7,60%,31.8,9.8,253,4.2,44,187,2,,,,,,3800,23,11,63%,33.5,10.5,2,18.00
171,Bryce Young,QB,CAR,5,CHI,218,21,166,QB26,4.0,54,216,2,,,,,,3011,23,11,64%,29.9,9.9,264,4.8,59,282,2,,,,,,3798,24,12,64%,32.3,10.6,2,18.10
172,Ka'imi Fairbairn,K,HOU,8,BUF,,,156,K2,,,,,,,,,,,,,,,,178,,,,,,,,,,,,,,,,2,18.20
173,Cam Little,K,JAX,7,CLE,,,180,K3,,,,,,,,,,,,,,,,171,,,,,,,,,,,,,,,,2,18.30
174,Denver Broncos,DST,DEN,10,@KC,,,164,DST32,,,,,,,,,,,,,,,,177,,,,,,,,,,,,,,,,2,18.40
175,Pat Bryant,WR,DEN,10,@KC,59,29,171,WR66,,,,,31,378,1,12.2,2.1/3.3,,,,,,,68,,,,,33,396,2,12.0,1.9/3.4,,,,,,,2,18.50
176,Calvin Ridley,WR,TEN,9,NYJ,39,7,204,WR67,,,,,17,303,,17.8,2.4/5.1,,,,,,,121,5.5,5,28,,46,707,4,15.3,2.7/5.2,,,,,,,2,18.60
177,Adonai Mitchell,WR,NYJ,13,@TEN,73,23,168,WR68,-4.0,1,-4,,33,453,2,13.7,2.1/4.6,,,,,,,91,4.8,3,16,,39,519,3,13.3,2.3/4.1,,,,,,,2,18.70
178,Jason Myers,K,SEA,11,NE,,,230,K4,,,,,,,,,,,,,,,,172,,,,,,,,,,,,,,,,2,18.80
179,Cameron Dicker,K,LAC,7,ARI,,,138,K5,,,,,,,,,,,,,,,,165,,,,,,,,,,,,,,,,2,18.90
180,Isaac TeSlaa,WR,DET,6,NO,68,14,206,WR69,,,,,16,239,6,14.9,0.9/1.6,,,,,,,100,,,,,38,510,5,13.4,2.2/3.7,,,,,,,2,19.00
181,Ja'Kobi Lane,WR,BAL,13,@IND,,19,148,WR70,,,,,,,,,,,,,,,,60,,,,,25,356,2,14.2,1.5/2.7,,,,,,,2,19.10
182,Caleb Douglas,WR,MIA,6,@LV,,22,177,WR71,,,,,,,,,,,,,,,,103,,,,,47,612,3,13.1,2.8/4.6,,,,,,,2,19.20
183,Devaughn Vele,WR,NO,8,@DET,54,6,183,WR72,,,,,25,293,2,11.7,1.9/3.0,,,,,,,81,,,,,41,421,3,10.3,2.4/3.6,,,,,,,2,19.30
184,Dylan Sampson,RB,CLE,11,@JAX,71,7,170,RB55,2.7,65,175,,33,271,2,8.2,2.2/2.7,,,,,,,85,4.1,65,264,1,38,272,1,7.2,2.2/2.9,,,,,,,2,19.40
185,Jauan Jennings,WR,MIN,6,GB,146,2,175,WR73,,,,,55,643,9,11.7,3.7/6.0,,,,,,,109,,,,,53,586,4,11.1,3.1/4.8,,,,,,,2,19.50
186,Pat Freiermuth,TE,PIT,9,ATL,93,12,197,TE23,,,,,41,486,4,11.9,2.4/3.2,,,,,,,126,,,,,62,654,5,10.5,3.6/5.1,,,,,,,1,19.60
187,Dontayvion Wicks,WR,PHI,10,WAS,61,1,159,WR74,6.0,1,6,,30,332,2,11.1,2.1/3.3,,,,,,,79,,,,,41,463,2,11.3,2.4/3.1,,,,,,,1,19.70
188,Rashod Bateman,WR,BAL,13,@IND,46,19,214,WR75,,,,,19,224,2,11.8,1.5/2.9,,,,,,,107,,,,,41,622,4,15.2,2.4/4.4,,,,,,,1,19.80
189,Aaron Rodgers,QB,PIT,9,ATL,227,25,180,QB27,2.9,21,61,1,1,-9,,-9.0,0.1/0.1,3322,24,7,66%,31.1,10.2,248,3.1,24,74,1,,,,,,3962,24,10,65%,33.9,10.5,1,19.90
190,Cade Otton,TE,TB,10,@CIN,93,32,192,TE24,,,,,59,572,1,9.7,3.7/5.1,,,,,,,82,,,,,47,463,2,9.9,2.8/3.9,,,,,,,1,20.00
191,Zach Charbonnet,RB,SEA,11,NE,171,6,165,RB56,4.0,184,730,12,20,144,,7.2,1.3/1.5,,,,,,,130,4.1,146,597,7,18,137,1,7.6,1.5/2.0,,,,,,,1,20.10
192,Malachi Fields,WR,NYG,8,DAL,,9,189,WR76,,,,,,,,,,,,,,,,95,,,,,49,581,2,11.9,2.9/4.4,,,,,,,1,20.20
193,Jerry Jeudy,WR,CLE,11,@JAX,96,5,205,WR77,5.0,1,5,,50,602,2,12.0,2.9/6.2,,,,,,,102,,,,,46,609,3,13.2,2.7/5.1,,,,,,,1,20.30
194,Samaje Perine,RB,CIN,6,TB,69,27,225,RB57,4.5,84,382,3,17,87,,5.1,1.1/1.4,,,,,,,97,4.4,98,432,3,25,175,1,7.1,1.4/1.8,,,,,,,1,20.40
195,Jacksonville Jaguars,DST,JAC,7,CLE,,,188,DST32,,,,,,,,,,,,,,,,152,,,,,,,,,,,,,,,,1,20.50
196,Los Angeles Chargers,DST,LAC,7,ARI,,,197,DST32,,,,,,,,,,,,,,,,163,,,,,,,,,,,,,,,,1,20.60
197,Jaylin Noel,WR,HOU,8,BUF,55,3,203,WR78,2.0,6,12,,26,292,2,11.2,1.5/2.1,,,,,,,82,5.5,5,28,,38,418,3,11.0,2.2/3.5,,,,,,,1,20.70
198,Justice Hill,RB,BAL,13,@IND,55,19,220,RB58,5.2,18,93,2,21,169,1,8.0,2.1/2.7,,,,,,,89,4.6,45,210,1,36,318,2,8.8,2.1/2.9,,,,,,,1,20.80
199,Omar Cooper Jr.,WR,NYJ,13,@TEN,,23,172,WR79,,,,,,,,,,,,,,,,106,5.8,2,10,,48,628,3,13.1,2.8/4.4,,,,,,,1,20.90
200,Chris Brooks,RB,GB,11,@MIN,26,17,301,RB59,3.9,27,106,,13,91,,7.0,0.8/1.0,,,,,,,37,4.2,42,174,1,11,78,,7.1,0.6/0.9,,,,,,,1,21.00
201,Jacoby Brissett,QB,ARI,14,@LAC,227,15,201,QB28,4.4,38,168,1,,,,,,3366,23,8,65%,34.6,10.7,189,4.4,34,149,1,,,,,,3099,16,10,64%,34.1,10.8,1,21.10
202,Minnesota Vikings,DST,MIN,6,GB,,,191,DST32,,,,,,,,,,,,,,,,164,,,,,,,,,,,,,,,,1,21.20
203,Pittsburgh Steelers,DST,PIT,9,ATL,,,190,DST32,,,,,,,,,,,,,,,,152,,,,,,,,,,,,,,,,1,21.30
204,Baltimore Ravens,DST,BAL,13,@IND,,,201,DST32,,,,,,,,,,,,,,,,153,,,,,,,,,,,,,,,,1,21.40
205,Najee Harris,RB,NYG,8,DAL,10,9,202,RB60,4.1,15,61,,3,25,,8.3,1.0/1.0,,,,,,,55,4.0,68,272,2,12,92,,7.5,0.7/0.9,,,,,,,1,21.50
206,Seth McGowan,RB,IND,13,BAL,,13,218,RB61,,,,,,,,,,,,,,,,34,4.1,38,156,1,10,70,,7.1,0.6/0.7,,,,,,,1,21.60
207,Germie Bernard,WR,PIT,9,ATL,,24,207,WR80,,,,,,,,,,,,,,,,85,,,,,44,448,3,10.2,2.6/4.2,,,,,,,1,21.70
208,AJ Barner,TE,SEA,11,NE,121,17,174,TE25,1.4,10,14,1,52,519,6,10.0,3.1/4.0,,,,,,,103,2.6,9,22,1,47,473,4,10.0,2.8/3.9,,,,,,,1,21.80
209,Zachariah Branch,WR,ATL,11,@PIT,,15,199,WR81,,,,,,,,,,,,,,,,81,,,,,41,489,2,11.9,2.4/3.9,,,,,,,1,21.90
210,Kaelon Black,RB,SF,8,@LAR,,15,187,RB62,,,,,,,,,,,,,,,,49,4.1,68,281,2,7,52,,7.4,0.4/0.6,,,,,,,1,22.00
211,Braelon Allen,RB,NYJ,13,@TEN,14,23,182,RB63,4.2,18,76,1,2,17,,8.5,0.5/0.8,,,,,,,89,4.2,110,464,4,15,108,,7.0,0.9/1.2,,,,,,,1,22.10
212,Jake Bates,K,DET,6,NO,,,134,K6,,,,,,,,,,,,,,,,160,,,,,,,,,,,,,,,,1,22.20
213,Cyrus Allen,WR,KC,5,DEN,,30,164,WR82,,,,,,,,,,,,,,,,45,,,,,19,230,2,12.0,1.1/2.2,,,,,,,1,22.30
214,Colby Parkinson,TE,LAR,11,SF,108,15,219,TE26,,,,,43,408,8,9.5,2.9/3.7,,,,,,,80,,,,,37,372,4,10.1,2.2/3.1,,,,,,,1,22.40
215,Kenyon Sadiq,TE,NYJ,13,@TEN,,31,178,TE27,,,,,,,,,,,,,,,,116,,,,,61,616,4,10.1,3.6/4.8,,,,,,,1,22.50
216,Charlie Kolar,TE,LAC,7,ARI,31,22,279.5,TE28,,,,,10,142,2,14.2,0.6/0.9,,,,,,,82,,,,,36,396,4,11.0,2.1/3.2,,,,,,,1,22.60
217,Ted Hurst,WR,TB,10,@CIN,,11,200,WR83,,,,,,,,,,,,,,,,56,,,,,24,319,2,13.6,1.4/2.2,,,,,,,1,22.70
218,Chris Bell,WR,MIA,6,@LV,,22,196,WR84,,,,,,,,,,,,,,,,89,,,,,40,567,2,14.3,2.3/3.9,,,,,,,1,22.80
219,Kimani Vidal,RB,LAC,7,ARI,110,28,208,RB64,4.1,155,643,3,16,136,1,8.5,1.2/1.7,,,,,,,34,4.1,42,173,1,9,64,,7.1,0.5/0.8,,,,,,,1,22.90
220,Alvin Kamara,RB,NO,8,@DET,84,3,193,RB65,3.6,131,471,1,33,186,,5.6,3.0/3.5,,,,,,,95,3.9,101,398,2,31,215,1,6.9,1.8/2.4,,,,,,,1,23.00
221,Greg Dulcich,TE,MIA,6,@LV,50,28,188,TE29,-7.0,1,-7,,26,335,1,12.9,2.6/3.3,,,,,,,116,,,,,58,630,4,10.9,3.4/4.6,,,,,,,1,23.10
222,Jaylen Wright,RB,MIA,6,@LV,46,20,249,RB66,4.1,70,288,2,5,44,,8.8,0.5/0.9,,,,,,,52,4.1,66,273,2,10,72,,7.2,0.6/0.8,,,,,,,1,23.20
223,Kaleb Johnson,RB,GB,11,@MIN,8,17,367,RB67,2.5,28,69,,1,9,,9.0,0.1/0.2,,,,,,,27,4.1,37,150,1,5,34,,6.8,0.3/0.4,,,,,,,1,23.30
224,Tyrone Tracy Jr.,RB,NYG,8,DAL,143,9,157,RB68,4.2,176,740,2,36,288,2,8.0,2.4/3.2,,,,,,,70,4.2,62,262,2,20,153,1,7.7,1.2/1.5,,,,,,,1,23.40
225,Sean Tucker,RB,TB,10,@CIN,87,18,215,RB69,3.7,86,320,7,8,34,1,4.2,0.5/0.6,,,,,,,43,4.1,53,218,3,3,17,,5.5,0.2/0.2,,,,,,,1,23.50
226,Jordan James,RB,SF,8,@LAR,,15,229,RB70,,,,,,,,,,,,,,,,27,4.2,34,142,1,5,40,,7.9,0.3/0.4,,,,,,,1,23.60
227,Mike Gesicki,TE,CIN,6,TB,57,4,230,TE30,,,,,28,307,2,11.0,2.2/3.2,,,,,,,90,,,,,44,443,4,10.1,2.6/3.8,,,,,,,1,23.70
228,Oronde Gadsden II,TE,LAC,7,ARI,107,22,195,TE31,,,,,49,664,3,13.6,3.3/4.6,,,,,,,53,,,,,22,246,3,11.4,1.3/1.8,,,,,,,1,23.80
229,Cooper Kupp,WR,SEA,11,NE,93,13,217,WR85,,,,,47,593,2,12.6,2.9/4.4,,,1,,0.1,,76,,,,,36,404,3,11.2,2.1/3.3,,,,,,,1,23.90
230,Travis Hunter,WR,JAX,7,CLE,50,4,163,WR86,,1,,,28,298,1,10.6,4.0/6.4,,,,,,,74,5.9,3,20,,36,416,2,11.6,2.1/3.4,,,,,,,1,24.00
231,Gunnar Helm,TE,TEN,9,NYJ,70,8,198,TE32,,,,,44,357,2,8.1,2.8/3.4,,,,,,,88,,,,,52,445,3,8.6,3.0/4.3,,,,,,,1,24.10
232,Kaytron Allen,RB,WAS,7,@PHI,,2,221,RB71,,,,,,,,,,,,,,,,15,4.2,27,113,,3,21,,7.0,0.2/0.2,,,,,,,1,24.20
233,Malik Washington,WR,MIA,6,@LV,88,22,173,WR87,6.5,17,110,1,46,317,3,6.9,2.7/3.8,,,,,,,94,5.9,15,90,1,48,432,2,9.1,2.8/4.1,,,,,,,1,24.30
234,Jahan Dotson,WR,ATL,11,@PIT,41,15,258,WR88,,,,,18,262,1,14.6,1.1/2.1,,,,,,,70,,,,,32,415,2,13.0,1.9/3.6,,,,,,,1,24.40
235,Michael Mayer,TE,LV,13,MIA,56,18,227,TE33,,,,,35,328,1,9.4,2.7/3.8,,,,,,,81,,,,,43,416,3,9.7,2.5/3.6,,,,,,,1,24.50
236,Tyquan Thornton,WR,KC,5,DEN,71,30,232,WR89,,,,,19,438,3,23.1,1.4/2.6,,,,,,,91,,,,,37,551,3,15.1,2.2/4.1,,,,,,,1,24.60
237,Fernando Mendoza,QB,LV,13,MIA,,32,190,QB29,,,,,,,,,,,,,,,,134,4.2,27,113,2,,,,,,2026,12,9,63%,33.2,10.7,1,24.70
238,Geno Smith,QB,NYJ,13,@TEN,174,31,191,QB30,2.7,41,109,,,,,,,3025,19,17,67%,29.9,10.0,230,3.8,53,203,1,,,,,,3840,19,13,67%,31.9,10.6,1,24.80
239,Andrei Iosivas,WR,CIN,6,TB,73,8,318.5,WR90,4.7,3,14,,33,435,2,13.2,1.9/3.4,,,,,,,73,,,,,32,386,3,12.1,1.9/3.1,,,,,,,1,24.90
240,Eddy Pineiro,K,SF,8,@LAR,,,0,K7,,,,,,,,,,,,,,,,151,,,,,,,,,,,,,,,,1,25.00
241,Mack Hollins,WR,NE,11,@SEA,90,28,394,WR91,4.0,1,4,,46,550,2,12.0,3.1/4.3,,,,,,,45,,,,,23,274,1,11.8,1.4/2.0,,,,,,,1,25.10
242,Demond Claiborne,RB,MIN,6,GB,,10,241,RB72,,,,,,,,,,,,,,,,25,4.3,33,142,1,4,24,,6.0,0.2/0.3,,,,,,,1,25.20
243,Emanuel Wilson,RB,SEA,11,NE,87,6,288,RB73,4.0,125,496,3,15,99,,6.6,0.9/1.0,,,,,,,22,4.2,33,138,,7,48,,6.9,0.4/0.6,,,,,,,1,25.30
244,Chimere Dike,WR,TEN,9,NYJ,90,7,292,WR92,1.6,11,18,,48,423,4,8.8,2.8/4.4,,,,,,,54,5.2,12,62,,23,238,2,10.3,1.4/2.1,,,,,,,1,25.40
245,Tua Tagovailoa,QB,ATL,11,@PIT,161,14,238,QB31,2.2,20,43,,,,,,,2660,20,15,68%,27.4,10.2,67,2.6,5,13,,,,,,,1148,7,4,68%,31.4,10.5,1,25.50
246,Nicholas Singleton,RB,TEN,9,NYJ,,14,213,RB74,,,,,,,,,,,,,,,,20,4.2,25,105,1,3,22,,7.3,0.2/0.2,,,,,,,1,25.60
247,George Holani,RB,SEA,11,NE,14,6,231,RB75,3.3,22,73,1,2,15,,7.5,0.2/0.2,,,,,,,23,4.1,37,150,,7,45,,6.8,0.4/0.5,,,,,,,1,25.70
248,Philadelphia Eagles,DST,PHI,10,WAS,,,181,DST32,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,1,25.80
249,Darren Waller,TE,CAR,5,CHI,77,23,209,TE34,4.0,1,4,,24,283,6,11.8,2.7/3.8,,,,,,,91,,,,,40,412,5,10.3,2.4/3.4,,,,,,,1,25.90
250,Kendrick Bourne,WR,ARI,14,@LAC,74,18,330.5,WR93,,,,,37,551,,14.9,2.3/3.3,,,,,,,48,,,,,23,248,2,10.8,1.4/2.2,,,,,,,1,26.00
251,Demario Douglas,WR,NE,11,@SEA,80,28,329,WR94,3.0,7,21,,31,447,3,14.4,1.8/2.7,,,,,,,59,5.2,5,27,,26,315,2,12.0,1.5/2.2,,,,,,,1,26.10
252,Tyler Loop,K,BAL,13,@IND,,,216,K8,,,,,,,,,,,,,,,,155,,,,,,,,,,,,,,,,1,26.20
253,David Njoku,TE,LAC,7,ARI,70,22,211,TE35,,,,,33,293,4,8.9,2.8/4.0,,,,,,,42,,,,,19,200,2,10.4,1.1/1.6,,,,,,,1,26.30
254,Evan Engram,TE,DEN,10,@KC,78,20,222,TE36,7.0,1,7,,50,461,1,9.2,3.1/4.8,,,,,,,73,,,,,43,400,2,9.3,2.5/3.7,,,,,,,1,26.40
255,Darius Slayton,WR,NYG,8,DAL,80,9,330.5,WR95,,,,,37,538,1,14.5,2.6/4.5,,,,,,,54,,,,,22,309,2,14.0,1.3/2.4,,,,,,,1,26.50
256,Evan McPherson,K,CIN,6,TB,,,189,K9,,,,,,,,,,,,,,,,158,,,,,,,,,,,,,,,,1,26.60
257,Joshua Palmer,WR,BUF,7,@HOU,41,21,322,WR96,,,,,22,303,,13.8,1.8/3.1,,,,,,,34,,,,,16,196,1,12.3,0.9/1.6,,,,,,,1,26.70
258,Xavier Hutchinson,WR,HOU,8,BUF,81,3,254,WR97,7.3,3,22,,35,428,3,12.2,2.1/3.4,,,,,,,34,5.8,2,10,,17,183,1,10.8,1.0/1.9,,,,,,,1,26.80
259,Antonio Williams,WR,WAS,7,@PHI,,16,226,WR98,5.2,12,,,1,,,20.0,1.0/1.0,,,,,,,50,5.0,3,15,,21,262,2,12.5,1.2/2.0,,,,,,,1,26.90
260,Dawson Knox,TE,BUF,7,@HOU,86,24,251,TE37,,,,,36,417,4,11.6,2.1/2.9,,,,,,,45,,,,,21,228,2,10.8,1.2/1.9,,,,,,,1,27.00
261,Isiah Pacheco,RB,DET,6,NO,78,1,194,RB76,3.9,118,462,1,19,101,1,5.3,1.5/2.0,,,,,,,70,4.2,99,419,3,9,59,,6.6,0.7/1.0,,,,,,,1,27.10
262,Troy Franklin,WR,DEN,10,@KC,145,29,237,WR99,2.4,5,12,,65,709,6,10.9,3.8/6.1,,,,,,,42,5.2,3,18,,16,200,2,12.4,0.9/1.5,,,,,,,1,27.20
263,Cedric Tillman,WR,NO,8,@DET,50,6,282,WR100,,,,,21,270,2,12.9,1.6/3.0,,,,,,,41,,,,,22,242,1,11.0,1.3/2.4,,,,,,,1,27.30
264,Kalif Raymond,WR,CHI,10,@CAR,49,27,279,WR101,9.5,2,19,,24,289,1,12.0,1.6/2.0,,,,,,,40,5.8,3,20,,21,214,1,10.2,1.2/1.8,,,,,,,1,27.40
265,Darnell Washington,TE,PIT,9,ATL,58,12,246,TE38,,,,,31,364,1,11.7,1.9/2.7,,,,,,,64,,,,,32,363,2,11.3,1.9/2.8,,,,,,,1,27.50
266,Chris Boswell,K,PIT,9,ATL,,,130,K10,,,,,,,,,,,,,,,,144,,,,,,,,,,,,,,,,1,27.60
267,Xavier Legette,WR,CAR,5,CHI,72,20,410,WR102,,1,,,35,363,3,10.4,2.3/4.3,,,,,,,74,5.0,2,9,,35,375,3,10.7,2.1/4.0,,,,,,,1,27.70
268,Marvin Mims Jr.,WR,DEN,10,@KC,69,29,236,WR103,6.5,12,78,1,37,322,1,8.7,2.5/3.4,,,,,,,51,4.9,5,25,,22,252,2,11.5,1.3/1.7,,,,,,,1,27.80
269,New England Patriots,DST,NE,11,@SEA,,,178,DST32,,,,,,,,,,,,,,,,149,,,,,,,,,,,,,,,,1,27.90
270,Bryce Lance,WR,NO,8,@DET,,6,252,WR104,,,,,,,,,,,,,,,,23,,,,,11,118,1,10.9,0.6/1.1,,,,,,,1,28.00
271,Will Reichard,K,MIN,6,GB,,,261,K11,,,,,,,,,,,,,,,,152,,,,,,,,,,,,,,,,1,28.10
272,Chicago Bears,DST,CHI,10,@CAR,,,209,DST32,,,,,,,,,,,,,,,,151,,,,,,,,,,,,,,,,1,28.20
273,Treylon Burks,WR,WAS,7,@PHI,24,16,313,WR105,,,,,10,130,1,13.0,1.3/2.8,,,,,,,52,,,,,22,292,2,13.3,1.3/2.3,,,,,,,1,28.30
274,Harrison Butker,K,KC,5,DEN,,,187,K12,,,,,,,,,,,,,,,,149,,,,,,,,,,,,,,,,1,28.40
275,Harrison Mevis,K,LAR,11,SF,,,0,K13,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,1,28.50
276,Darnell Mooney,WR,NYG,8,DAL,66,9,239,WR106,,,,,32,443,1,13.8,2.1/4.8,,,,,,,53,,,,,21,300,2,14.3,1.2/2.4,,,,,,,1,28.60
277,Michael Penix Jr.,QB,ATL,11,@PIT,120,14,212,QB32,3.3,21,70,1,,,,,,1982,9,3,60%,30.7,11.9,189,3.7,14,52,1,,,,,,2945,19,8,62%,31.8,11.4,1,28.70
278,Chase McLaughlin,K,TB,10,@CIN,,,159,K14,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,1,28.80
279,KaVontae Turpin,WR,DAL,14,@NYG,72,10,253,WR107,5.2,17,89,,26,396,2,15.2,1.7/2.5,,,,,,,49,5.9,17,100,,15,191,2,13.0,0.9/1.4,,,,,,,1,28.90
280,Elic Ayomanor,WR,TEN,9,NYJ,96,7,319.5,WR108,,,,,41,515,4,12.6,2.6/5.6,,,,,,,42,,,,,17,218,2,12.7,1.0/1.9,,,,,,,1,29.00
281,Noah Gray,TE,KC,5,DEN,28,14,377,TE39,,,,,21,178,,8.5,1.3/2.3,,,,,,,46,,,,,27,266,1,9.7,1.6/2.4,,,,,,,1,29.10
282,Cole Kmet,TE,CHI,10,@CAR,64,30,395,TE40,,,,,30,347,2,11.6,1.9/3.0,,,,,0.1,,63,,,,,29,309,3,10.7,1.7/2.5,,,,,,,1,29.20
283,Jonnu Smith,TE,GB,11,@MIN,66,29,325,TE41,7.8,9,70,1,38,222,2,5.8,2.2/3.2,,,,,,,59,,,,,31,314,2,10.1,1.8/2.6,,,,,,,1,29.30
284,Spencer Shrader,K,IND,13,BAL,,,0,K15,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,1,29.40
285,Trey Smack,K,GB,11,@MIN,,,,K16,,,,,,,,,,,,,,,,136,,,,,,,,,,,,,,,,1,29.50
286,Demarcus Robinson,WR,SF,8,@LAR,47,26,266,WR109,6.0,1,6,,22,276,1,12.5,1.6/2.5,,,,,,,10,,,,,5,72,,14.8,0.3/0.5,,,,,,,1,29.60
287,Kirk Cousins,QB,LV,13,MIA,104,32,240,QB33,0.5,14,7,1,,,,,,1721,10,5,62%,24.5,10.4,108,1.7,9,14,,,,,,,1919,11,7,66%,34.8,10.5,1,29.70
288,Isaiah Davis,RB,NYJ,13,@TEN,61,23,361,RB77,5.5,43,236,1,21,186,,8.9,1.3/1.8,,,,,,,32,4.7,29,134,1,10,76,,7.6,0.6/0.8,,,,,,,1,29.80
289,Jahdae Walker,WR,CHI,10,@CAR,24,27,280,WR110,,,,,6,87,2,14.5,0.7/1.1,,,,,,,9,,,,,5,62,,13.0,0.3/0.5,,,,,,,1,29.90
290,Tez Johnson,WR,TB,10,@CIN,78,11,389,WR111,3.1,7,22,,28,322,5,11.5,1.8/2.8,,,,,,,20,5.9,3,20,,7,86,1,11.7,0.4/0.7,,,,,,,1,30.00
291,Deshaun Watson,QB,CLE,11,@JAX,,2,235,QB34,4.8,31,,,,,,,,,,,,30.9,8.4,102,4.3,22,94,1,,,,,,1662,8,6,62%,28.8,10.3,1,30.10
292,Dallas Cowboys,DST,DAL,14,@NYG,,,240,DST32,,,,,,,,,,,,,,,,115,,,,,,,,,,,,,,,,1,30.20
