RK,Player,Pos,Team,BYE,Opp,PTS,SoS Rank,ADP (Underdog),P-RK,YPC,Rush,RUSH YDS,RUSH TD,REC,REC YDS,REC TD,YPR,Rec/Tar Game,PASS YDS,PASS TD,INT,CMP%,ATT/ GM,QB YPC,PTS (Projections),YPC (Projections),Rush (Projections),RUSH YDS (Projections),RUSH TD (Projections),REC (Projections),REC YDS (Projections),REC TD (Projections),YPR (Projections),Rec/Tar Game (Projections),PASS YDS (Projections),PASS TD (Projections),INT (Projections),CMP% (Projections),ATT/ GM (Projections),QB YPC (Projections),Auction $,Target Round
359,Jacob Saylors,RB,DET,6,NO,1,1,,RB91,5.5,2,11,,,,,,,,,,,,,32,4.2,43,180,1,7,46,,6.6,0.4/0.6,,,,,,,1,36.90
360,Brenen Thompson,WR,LAC,7,ARI,,31,305,WR130,,,,,,,,,,,,,,,,12,5.0,2,9,,6,76,,12.5,0.4/0.6,,,,,,,1,37.00
361,Nick Folk,K,ATL,11,@PIT,,,0,K23,,,,,,,,,,,,,,,,143,,,,,,,,,,,,,,,,1,37.10
362,Kevin Coleman Jr.,WR,MIA,6,@LV,,22,281,WR131,,,,,,,,,,,,,,,,13,,,,,9,90,,10.2,0.5/0.9,,,,,,,1,37.20
363,Brandon Aiyuk,WR,SF,8,@LAR,,26,291,WR132,,,,,,,,,,,,,,,,88,,,,,39,507,3,13.0,2.3/3.5,,,,,,,1,37.30
364,Haynes King,QB,CAR,5,CHI,,21,,QB37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,37.40
365,Tyler Higbee,TE,LAR,11,SF,59,15,320.5,TE59,,,,,25,281,3,11.2,2.5/3.6,,,,,,,32,,,,,17,177,1,10.4,1.0/1.6,,,,,,,1,37.50
366,Matt Gay,K,LV,13,MIA,,,236,K24,,,,,,,,,,,,,,,,125,,,,,,,,,,,,,,,,1,37.60
367,Dyami Brown,WR,WAS,7,@PHI,40,16,280,WR133,5.0,6,30,,20,227,1,11.4,1.4/2.6,,,,,,,22,,,,,9,113,1,12.6,0.5/0.9,,,,,,,1,37.70
368,Jacob Cowing,WR,SF,8,@LAR,,26,315,WR134,7.0,1,,,4,,,20.0,0.3/0.4,,,,,,,4,,,,,2,28,,14.8,0.1/0.2,,,,,,,1,37.80
369,Atlanta Falcons,DST,ATL,11,@PIT,,,230,DST32,,,,,,,,,,,,,,,,140,,,,,,,,,,,,,,,,1,37.90
370,New York Jets,DST,NYJ,13,@TEN,,,373,DST32,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,1,38.00
371,John Bates,TE,WAS,7,@PHI,22,25,0,TE60,,,,,11,103,1,9.4,0.7/1.1,,,,,,,14,,,,,10,91,,9.3,0.6/0.8,,,,,,,1,38.10
372,Adam Trautman,TE,DEN,10,@KC,36,20,0,TE61,,,,,20,195,1,9.8,1.2/1.4,,,,,,,25,,,,,13,124,1,9.6,0.8/1.1,,,,,,,1,38.20
373,Tommy Tremble,TE,CAR,5,CHI,50,23,258,TE62,,,,,27,249,2,9.2,1.6/2.2,,,,,,,16,,,,,11,102,,9.3,0.6/0.9,,,,,,,1,38.30
374,Dylan Laube,RB,LV,13,MIA,2,32,0,RB92,1.3,7,9,,3,18,,6.0,0.2/0.2,,,,,,,3,4.0,4,17,,2,10,,6.6,0.1/0.2,,,,,,,1,38.40
375,Las Vegas Raiders,DST,LV,13,MIA,,,326,DST32,,,,,,,,,,,,,,,,108,,,,,,,,,,,,,,,,1,38.50
376,Max Klare,TE,LAR,11,SF,,15,307,TE63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,38.60
377,Eli Stowers,TE,PHI,10,WAS,,1,257,TE64,,,,,,,,,,,,,,,,14,2.8,5,14,,9,84,,9.1,0.5/0.8,,,,,,,1,38.70
378,Jaydon Blue,RB,PHI,10,WAS,20,4,179,RB93,3.4,38,129,1,1,5,,5.0,0.2/0.2,,,,,,,56,4.2,69,285,3,8,57,,7.0,0.5/0.6,,,,,,,1,38.80
379,Joey Slye,K,TEN,9,NYJ,,,0,K25,,,,,,,,,,,,,,,,127,,,,,,,,,,,,,,,,1,38.90
380,Chad Ryland,K,ARI,14,@LAC,,,0,K26,,,,,,,,,,,,,,,,129,,,,,,,,,,,,,,,,1,39.00
381,Ryan Fitzgerald,K,CAR,5,CHI,,,0,K27,,,,,,,,,,,,,,,,132,,,,,,,,,,,,,,,,1,39.10
382,Tyler Conklin,TE,DET,6,NO,14,26,253,TE65,2.0,1,2,,7,101,,14.4,0.5/0.8,,,,,,,,,,,,,,,15.0,0.2/—,,,,,,,1,39.20
383,Ashton Dulin,WR,IND,13,BAL,18,17,250,WR135,14.7,3,44,,5,106,,21.2,0.4/0.8,,,,,,,16,6.8,5,35,,7,90,,12.5,0.4/0.7,,,,,,,1,39.30
384,Riley Patterson,K,MIA,6,@LV,,,0,K28,,,,,,,,,,,,,,,,124,,,,,,,,,,,,,,,,1,39.40
385,New Orleans Saints,DST,NO,8,@DET,,,229,DST32,,,,,,,,,,,,,,,,129,,,,,,,,,,,,,,,,1,39.50
386,Ty Simpson,QB,LAR,11,SF,,17,370,QB38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,39.60
387,Tanner Hudson,TE,CIN,6,TB,38,4,0,TE66,,,,,19,168,2,8.8,1.3/1.6,,,,,,,21,,,,,11,93,1,8.5,0.6/0.9,,,,,,,1,39.70
