RK,Player,Pos,Team,BYE,Opp,PTS,SoS Rank,P-RK,YPC,Rush,RUSH YDS,RUSH TD,REC,REC YDS,REC TD,YPR,Rec/Tar Game,PASS YDS,PASS TD,INT,CMP%,ATT/ GM,QB YPC,PTS (Projections),YPC (Projections),Rush (Projections),RUSH YDS (Projections),RUSH TD (Projections),REC (Projections),REC YDS (Projections),REC TD (Projections),YPR (Projections),Rec/Tar Game (Projections),PASS YDS (Projections),PASS TD (Projections),INT (Projections),CMP% (Projections),ATT/ GM (Projections),QB YPC (Projections),Auction $,Target Round
137,Aaron Jones Sr.,RB,MIN,6,GB,105,10,RB44,4.2,132,548,2,28,199,1,7.1,2.3/3.4,,,,,,,165,4.3,151,648,5,47,347,2,7.4,2.8/3.8,,,,,,,,14.70
138,Denzel Boston,WR,CLE,11,@JAX,,5,WR58,,,,,,,,,,,,,,,,117,,,,,58,704,3,12.1,3.4/5.8,,,,,,,,14.80
139,Sam Darnold,QB,SEA,11,NE,235,13,QB22,2.7,35,95,,,,,,,4048,25,14,68%,28.1,12.5,273,3.0,41,125,1,,,,,,4212,27,11,67%,31.6,11.8,,14.90
140,Daniel Jones,QB,IND,13,BAL,226,8,QB23,3.6,45,164,5,,,,,,3101,19,8,68%,29.5,11.9,289,4.1,64,263,4,,,,,,4013,25,11,68%,32.2,10.9,,15.00
141,Keenan Allen,WR,IND,13,BAL,142,17,WR59,,,,,81,777,4,9.6,4.8/7.2,,,,,,,110,,,,,52,542,5,10.4,3.5/5.3,,,,,,,,15.10
142,C.J. Stroud,QB,HOU,8,BUF,209,6,QB24,4.4,48,209,1,,,,,,3041,19,8,65%,30.2,11.1,270,4.4,56,247,1,,,,,,4020,25,11,64%,32.6,11.2,,15.20
143,Hunter Henry,TE,NE,11,@SEA,149,21,TE16,,,,,60,768,7,12.8,3.5/5.1,,,,,,,123,,,,,58,639,5,11.0,3.4/4.9,,,,,,,,15.30
144,Juwan Johnson,TE,NO,8,@DET,141,16,TE17,,,,,77,889,3,11.5,4.5/6.0,,,,,,,135,,,,,70,763,4,10.9,4.1/5.8,,,,,,,,15.40
145,Woody Marks,RB,HOU,8,BUF,139,11,RB45,3.6,196,703,3,24,208,3,8.7,1.5/2.3,,,,,,,114,4.1,145,587,3,23,196,1,8.5,1.4/2.0,,,,,,,,15.50
146,Brenton Strange,TE,JAX,7,CLE,95,7,TE18,,,,,46,540,3,11.7,3.8/5.0,,,,,,,113,,,,,57,603,4,10.6,3.4/4.9,,,,,,,,15.60
147,Jalen Nailor,WR,LV,13,MIA,86,32,WR60,6.5,2,13,,29,444,4,15.3,1.7/3.1,,,,,,,112,5.7,2,10,,46,640,4,13.9,2.7/4.8,,,,,,,,15.70
148,Tank Bigsby,RB,PHI,10,WAS,52,4,RB46,5.7,63,356,2,3,32,,10.7,0.2/0.2,,,,,,,83,4.6,93,423,4,13,99,,7.6,0.8/1.1,,,,,,,,15.80
149,Jalen McMillan,WR,TB,10,@CIN,24,11,WR61,1.0,1,1,,12,178,,14.8,3.0/3.8,,,,,,,110,5.8,5,30,,47,601,4,12.9,2.7/4.4,,,,,,,,15.90
150,Jauan Jennings,WR,MIN,6,GB,146,2,WR62,,,,,55,643,9,11.7,3.7/6.0,,,,,,,109,,,,,53,586,4,11.1,3.1/4.8,,,,,,,,16.00
151,Chig Okonkwo,TE,WAS,7,@PHI,96,25,TE19,,,,,56,560,2,10.0,3.3/4.6,,,,,,,101,,,,,50,513,4,10.2,3.0/4.1,,,,,,,,16.10
152,Tre Tucker,WR,LV,13,MIA,133,32,WR63,4.6,11,51,,57,696,5,12.2,3.4/5.4,,,,,,,112,5.6,12,67,,50,624,3,12.5,2.9/5.1,,,,,,,,16.20
153,Dalton Schultz,TE,HOU,8,BUF,137,11,TE20,,,,,82,777,3,9.5,4.8/6.2,,,,,,,115,,,,,62,601,4,9.7,3.6/5.1,,,,,,,,16.30
154,Tyjae Spears,RB,TEN,9,NYJ,89,14,RB47,3.9,72,283,2,45,264,,5.9,3.5/3.8,,,,,,,144,4.1,141,582,3,47,318,2,6.8,2.8/3.4,,,,,,,,16.40
155,Mike Washington Jr.,RB,LV,13,MIA,,32,RB48,,,,,,,,,,,,,,,,82,4.1,108,440,3,16,117,,7.3,0.9/1.3,,,,,,,,16.50
156,Ryan Flournoy,WR,DAL,14,@NYG,94,10,WR64,6.2,4,25,,40,475,4,11.9,2.5/3.5,,,,,,,112,5.5,3,19,,48,564,5,11.7,2.8/4.2,,,,,,,,16.60
157,Kayshon Boutte,WR,HOU,8,BUF,108,3,WR65,,,,,33,551,6,16.7,2.4/3.3,,,,,,,116,,,,,53,651,4,12.3,3.1/4.8,,,,,,,,16.70
158,Cam Ward,QB,TEN,9,NYJ,187,4,QB25,4.1,39,159,2,,,,,,3169,15,7,60%,31.8,9.8,253,4.2,44,187,2,,,,,,3800,23,11,63%,33.5,10.5,,16.80
159,Tyler Allgeier,RB,ARI,14,@LAC,116,25,RB49,3.6,143,514,8,14,96,,6.9,0.8/0.9,,,,,,,87,3.9,112,440,4,16,108,,6.8,0.9/1.3,,,,,,,,16.90
160,Pat Bryant,WR,DEN,10,@KC,59,29,WR66,,,,,31,378,1,12.2,2.1/3.3,,,,,,,68,,,,,33,396,2,12.0,1.9/3.4,,,,,,,,17.00
161,T.J. Hockenson,TE,MIN,6,GB,87,9,TE21,,1,,,51,438,3,8.6,3.4/4.4,,,,,,,128,,,,,77,650,4,8.4,4.5/6.2,,,,,,,,17.10
162,Terrance Ferguson,TE,LAR,11,SF,47,15,TE22,,1,,,11,231,3,21.0,0.8/1.8,,,,,,,126,,,,,46,665,6,14.5,2.7/4.6,,,,,,,,17.20
163,Bryce Young,QB,CAR,5,CHI,218,21,QB26,4.0,54,216,2,,,,,,3011,23,11,64%,29.9,9.9,264,4.8,59,282,2,,,,,,3798,24,12,64%,32.3,10.6,,17.30
164,Tre Harris,WR,LAC,7,ARI,,31,WR67,,,,,,,,,,,,,,,,99,,,,,47,514,4,11.0,2.8/4.1,,,,,,,,17.40
165,Jonah Coleman,RB,DEN,10,@KC,,29,RB50,,,,,,,,,,,,,,,,45,4.3,44,191,1,16,120,,7.7,0.9/1.3,,,,,,,,17.50
166,Adonai Mitchell,WR,NYJ,13,@TEN,73,23,WR68,-4.0,1,-4,,33,453,2,13.7,2.1/4.6,,,,,,,91,4.8,3,16,,39,519,3,13.3,2.3/4.1,,,,,,,,17.60
167,Devaughn Vele,WR,NO,8,@DET,54,6,WR69,,,,,25,293,2,11.7,1.9/3.0,,,,,,,81,,,,,41,421,3,10.3,2.4/3.6,,,,,,,,17.70
168,Ray Davis,RB,BUF,7,@HOU,53,30,RB51,4.7,58,275,,10,86,2,8.6,0.6/0.8,,,,,,,59,4.2,63,266,2,11,90,1,8.2,0.6/0.8,,,,,,,,17.80
169,Malik Davis,RB,DAL,14,@NYG,40,5,RB52,4.8,52,250,2,2,16,,8.0,0.2/0.5,,,,,,,58,4.4,82,359,1,12,94,,7.6,0.7/1.1,,,,,,,,17.90
170,Pat Freiermuth,TE,PIT,9,ATL,93,12,TE23,,,,,41,486,4,11.9,2.4/3.2,,,,,,,126,,,,,62,654,5,10.5,3.6/5.1,,,,,,,,18.00
171,Calvin Ridley,WR,TEN,9,NYJ,39,7,WR70,,,,,17,303,,17.8,2.4/5.1,,,,,,,121,5.5,5,28,,46,707,4,15.3,2.7/5.2,,,,,,,,18.10
172,Tyrone Tracy Jr.,RB,NYG,8,DAL,143,9,RB53,4.2,176,740,2,36,288,2,8.0,2.4/3.2,,,,,,,70,4.2,62,262,2,20,153,1,7.7,1.2/1.5,,,,,,,,18.20
173,Brian Robinson Jr.,RB,ATL,11,@PIT,59,12,RB54,4.3,92,400,2,8,25,,3.1,0.5/0.7,,,,,,,99,4.2,131,550,4,11,81,1,7.4,0.6/0.8,,,,,,,,18.30
174,Omar Cooper Jr.,WR,NYJ,13,@TEN,,23,WR71,,,,,,,,,,,,,,,,106,5.8,2,10,,48,628,3,13.1,2.8/4.4,,,,,,,,18.40
175,Dylan Sampson,RB,CLE,11,@JAX,71,7,RB55,2.7,65,175,,33,271,2,8.2,2.2/2.7,,,,,,,85,4.1,65,264,1,38,272,1,7.2,2.2/2.9,,,,,,,,18.50
176,Oronde Gadsden II,TE,LAC,7,ARI,107,22,TE24,,,,,49,664,3,13.6,3.3/4.6,,,,,,,53,,,,,22,246,3,11.4,1.3/1.8,,,,,,,,18.60
177,Kenyon Sadiq,TE,NYJ,13,@TEN,,31,TE25,,,,,,,,,,,,,,,,116,,,,,61,616,4,10.1,3.6/4.8,,,,,,,,18.70
178,Aaron Rodgers,QB,PIT,9,ATL,227,25,QB27,2.9,21,61,1,1,-9,,-9.0,0.1/0.1,3322,24,7,66%,31.1,10.2,248,3.1,24,74,1,,,,,,3962,24,10,65%,33.9,10.5,,18.80
179,Rashod Bateman,WR,BAL,13,@IND,46,19,WR72,,,,,19,224,2,11.8,1.5/2.9,,,,,,,107,,,,,41,622,4,15.2,2.4/4.4,,,,,,,,18.90
180,Isaac TeSlaa,WR,DET,6,NO,68,14,WR73,,,,,16,239,6,14.9,0.9/1.6,,,,,,,100,,,,,38,510,5,13.4,2.2/3.7,,,,,,,,19.00
181,Ja'Kobi Lane,WR,BAL,13,@IND,,19,WR74,,,,,,,,,,,,,,,,60,,,,,25,356,2,14.2,1.5/2.7,,,,,,,,19.10
182,Najee Harris,RB,NYG,8,DAL,10,9,RB56,4.1,15,61,,3,25,,8.3,1.0/1.0,,,,,,,55,4.0,68,272,2,12,92,,7.5,0.7/0.9,,,,,,,,19.20
183,Dontayvion Wicks,WR,PHI,10,WAS,61,1,WR75,6.0,1,6,,30,332,2,11.1,2.1/3.3,,,,,,,79,,,,,41,463,2,11.3,2.4/3.1,,,,,,,,19.30
184,Cade Otton,TE,TB,10,@CIN,93,32,TE26,,,,,59,572,1,9.7,3.7/5.1,,,,,,,82,,,,,47,463,2,9.9,2.8/3.9,,,,,,,,19.40
185,Zach Charbonnet,RB,SEA,11,NE,171,6,RB57,4.0,184,730,12,20,144,,7.2,1.3/1.5,,,,,,,130,4.1,146,597,7,18,137,1,7.6,1.5/2.0,,,,,,,,19.50
186,Alvin Kamara,RB,NO,8,@DET,84,3,RB58,3.6,131,471,1,33,186,,5.6,3.0/3.5,,,,,,,95,3.9,101,398,2,31,215,1,6.9,1.8/2.4,,,,,,,,19.60
187,Travis Hunter,WR,JAX,7,CLE,50,4,WR76,,1,,,28,298,1,10.6,4.0/6.4,,,,,,,74,5.9,3,20,,36,416,2,11.6,2.1/3.4,,,,,,,,19.70
188,Jerry Jeudy,WR,CLE,11,@JAX,96,5,WR77,5.0,1,5,,50,602,2,12.0,2.9/6.2,,,,,,,102,,,,,46,609,3,13.2,2.7/5.1,,,,,,,,19.80
189,Jaylin Noel,WR,HOU,8,BUF,55,3,WR78,2.0,6,12,,26,292,2,11.2,1.5/2.1,,,,,,,82,5.5,5,28,,38,418,3,11.0,2.2/3.5,,,,,,,,19.90
